filename,encoder_counts,x_m,y_in,y_m,s,s_hat,residual,sigma_s2
robot_data__50_0_10_02_26_16_45_46.pkl,537,0.15,0.0,0.0,0.15,0.15138013339599715,-0.0013801333959971573,1.9047681907466464e-06
robot_data__50_0_10_02_26_16_49_10.pkl,602,0.17,0.0,0.0,0.17,0.16970361322977706,0.00029638677022295057,8.784511756319209e-08
robot_data__50_0_10_02_26_16_50_12.pkl,688,0.19,0.0,0.0,0.19,0.19394698654831666,-0.0039469865483166555,1.5578702812592628e-05
robot_data__50_0_10_02_26_16_51_06.pkl,703,0.195,0.0,0.0,0.195,0.19817548189457357,-0.003175481894573562,1.0083685262764498e-05
robot_data__50_0_10_02_26_16_51_49.pkl,718,0.2,0.0,0.0,0.2,0.20240397724083048,-0.0024039772408304683,5.779106574430871e-06
robot_data__50_0_10_02_26_16_52_40.pkl,599,0.17,0.0,0.0,0.17,0.1688579141605257,0.0011420858394743105,1.3043600647277406e-06
robot_data__50_0_10_02_26_16_54_53.pkl,1587,0.445,-0.75,-0.019049999999999997,0.44540756897475375,0.4473748076339804,-0.0019672386592266555,3.8700279423558895e-06
robot_data__50_0_10_02_26_16_58_44.pkl,1567,0.44,-0.37,-0.009398,0.44010035492373784,0.44173681383897123,-0.0016364589152333964,2.6779977812468643e-06
robot_data__50_0_10_02_26_17_00_17.pkl,1548,0.435,-0.45,-0.01143,0.4351501406411355,0.4363807197337125,-0.001230579092577011,1.51432490308766e-06
robot_data__50_0_10_02_26_17_01_59.pkl,1541,0.44,-0.35,-0.008889999999999999,0.4400898000408553,0.4344074219054593,0.005682378135396016,3.22894212736267e-05
robot_data__50_0_10_02_26_17_03_15.pkl,1506,0.42,-0.2,-0.00508,0.42003072078123044,0.42454093276419314,-0.004510211982962697,2.0342012131260307e-05
robot_data__50_0_10_02_26_17_04_39.pkl,2500,0.77,-0.75,-0.019049999999999997,0.7702356149257187,0.7047492243761506,0.06548639054956806,0.004288467347210557
robot_data__50_0_10_02_26_17_09_49.pkl,2385,0.675,-1.0,-0.0254,0.6754777272419868,0.6723307600548477,0.003146967187139138,9.903402476930418e-06
robot_data__50_0_10_02_26_17_11_55.pkl,2453,0.69,-1.0,-0.0254,0.6904673489745912,0.691499938957879,-0.0010325899832878127,1.0662420735863254e-06
robot_data__50_0_10_02_26_17_13_03.pkl,2454,0.695,-0.9,-0.02286,0.6953758549158864,0.6917818386476294,0.00359401626825695,1.2916952936495612e-05
robot_data__50_0_10_02_26_17_22_02.pkl,2392,0.675,-0.8,-0.02032,0.6753057843673487,0.674304057883101,0.001001726484247678,1.0034559492432136e-06
robot_data__50_0_10_02_26_17_24_52.pkl,3146,0.885,-1.25,-0.03175,0.885569343699295,0.886856423954948,-0.0012870802556530503,1.6565755844919213e-06
robot_data__50_0_10_02_26_17_26_58.pkl,3015,0.85,-1.3,-0.03302,0.8506411231535893,0.8499275645976376,0.0007135585559516766,5.09165812771842e-07
robot_data__50_0_10_02_26_17_28_10.pkl,3099,0.875,-0.95,-0.02413,0.8753326549946597,0.8736071385366764,0.001725516457983356,2.977407046771427e-06
robot_data__50_0_10_02_26_17_29_35.pkl,3174,0.895,-0.9,-0.02286,0.8952918963109182,0.8947496152679608,0.0005422810429573932,2.940687295509581e-07
robot_data__50_0_10_02_26_17_30_43.pkl,3201,0.9,-0.8,-0.02032,0.9002293609964075,0.9023609068912233,-0.0021315458948157895,4.543487901706045e-06
robot_data__50_0_10_02_26_17_36_19.pkl,3871,1.09,-1.2,-0.030479999999999997,1.0904260774577983,1.0912336990240317,-0.0008076215662333741,6.522525942452483e-07
robot_data__50_0_10_02_26_17_38_23.pkl,3822,1.07,-1.1,-0.02794,1.0703647245682193,1.077420614226259,-0.007055889658039716,4.978557886643182e-05
robot_data__50_0_10_02_26_17_40_05.pkl,3851,1.07,-1.1,-0.02794,1.0703647245682193,1.0855957052290224,-0.015230980660803084,0.00023198277188975756
robot_data__50_0_10_02_26_17_41_08.pkl,3755,1.05,-1.3,-0.03302,1.0505190718877977,1.0585333350129782,-0.008014263125180499,6.422841343962789e-05
robot_data__50_0_10_02_26_17_42_10.pkl,3771,1.05,-1.3,-0.03302,1.0505190718877977,1.0630437300489857,-0.012524658161187974,0.00015686706205461252
