filename,alpha,tan_alpha,x_m,y_in,y_m,theta_rad,w_rad_s,w_hat,residual,sigma_w2
robot_data__50_5_10_02_26_21_41_57.pkl,5,0.08704561128797016,0.435,-0.5,-0.0127,-0.029187111428811932,-0.007296777857202983,-0.02096508075284527,0.013668302895642286,0.0001868225040470233
robot_data__50_5_10_02_26_21_48_14.pkl,5,0.08704561128797016,0.44,-0.75,-0.019049999999999997,-0.0432684325395408,-0.0108171081348852,-0.02096508075284527,0.010147972617960068,0.00010298134825486732
robot_data__50_5_10_02_26_21_51_12.pkl,5,0.08704561128797016,0.445,-0.8,-0.02032,-0.045631223705820165,-0.011407805926455041,-0.02096508075284527,0.009557274826390228,9.134150210715237e-05
robot_data__50_10_10_02_26_21_53_44.pkl,10,0.17278206351636377,0.415,-2.5,-0.0635,-0.151834406445998,-0.0379586016114995,-0.039107676698667056,0.0011490750871675573,1.3203735559491294e-06
robot_data__50_10_10_02_26_21_55_31.pkl,10,0.17278206351636377,0.395,-2.5,-0.0635,-0.15939571026906915,-0.03984892756726729,-0.039107676698667056,-0.0007412508686002323,5.494528502005988e-07
robot_data__50_10_10_02_26_21_57_15.pkl,10,0.17278206351636377,0.415,-2.6,-0.06604,-0.15780933094246855,-0.039452332735617136,-0.039107676698667056,-0.0003446560369500806,1.1878778380613534e-07
robot_data__50_15_10_02_26_22_00_12.pkl,15,0.25597778924568454,0.375,-2.9375,-0.0746125,-0.1964017729500907,-0.049100443237522676,-0.05294489710799948,0.0038444538704768064,1.4779825562224098e-05
robot_data__50_15_10_02_26_22_05_05.pkl,15,0.25597778924568454,0.38,-3.0625,-0.0777875,-0.20191446755041198,-0.050478616887602995,-0.05294489710799948,0.002466280220396487,6.082538125518945e-06
robot_data__50_15_10_02_26_22_07_37.pkl,15,0.25597778924568454,0.38,-3.0,-0.07619999999999999,-0.19790158146441741,-0.049475395366104354,-0.05294489710799948,0.0034695017418951285,1.2037442337013331e-05
robot_data__50_20_10_02_26_22_09_20.pkl,20,0.3355468322066388,0.34,-3.5,-0.08889999999999999,-0.2557450357119239,-0.06393625892798098,-0.06251571202364645,-0.0014205469043345326,2.0179535074144236e-06
robot_data__50_20_10_02_26_22_10_41.pkl,20,0.3355468322066388,0.33,-3.475,-0.088265,-0.26135195883795426,-0.06533798970948856,-0.06251571202364645,-0.0028222776858421172,7.965251336002336e-06
robot_data__50_20_10_02_26_22_12_35.pkl,20,0.3355468322066388,0.33,-3.4375,-0.0873125,-0.2586563641052967,-0.06466409102632417,-0.06251571202364645,-0.002148379002677725,4.6155323391465365e-06
robot_data__50_-5_10_02_26_22_15_39.pkl,-5,-0.08704561128797016,0.435,1.75,0.044449999999999996,0.10183046687083736,0.02545761671770934,0.02096508075284527,0.0044925359648640695,2.0182879395597135e-05
robot_data__50_-5_10_02_26_22_21_13.pkl,-5,-0.08704561128797016,0.44,1.625,0.041275,0.0935331040152252,0.0233832760038063,0.02096508075284527,0.002418195250961031,5.847668271770485e-06
robot_data__50_-5_10_02_26_22_23_06.pkl,-5,-0.08704561128797016,0.44,1.75,0.044449999999999996,0.10068115087954987,0.02517028771988747,0.02096508075284527,0.004205206967042199,1.7683765635660252e-05
robot_data__50_-10_10_02_26_22_25_45.pkl,-10,-0.17278206351636377,0.385,2.625,0.066675,0.1714809688897284,0.0428702422224321,0.039107676698667056,0.0037625655237650477,1.4156899320625347e-05
robot_data__50_-10_10_02_26_22_30_50.pkl,-10,-0.17278206351636377,0.41,2.875,0.07302499999999999,0.17626141464191267,0.04406535366047817,0.039107676698667056,0.004957676961811111,2.457856085767265e-05
robot_data__50_-10_10_02_26_22_33_17.pkl,-10,-0.17278206351636377,0.385,2.625,0.066675,0.1714809688897284,0.0428702422224321,0.039107676698667056,0.0037625655237650477,1.4156899320625347e-05
robot_data__50_-15_10_02_26_22_34_38.pkl,-15,-0.25597778924568454,0.365,3.25,0.08255,0.22242244263738575,0.05560561065934644,0.05294489710799948,0.0026607135513469563,7.079396602321332e-06
robot_data__50_-15_10_02_26_22_35_51.pkl,-15,-0.25597778924568454,0.37,3.5,0.08889999999999999,0.23580051560092394,0.058950128900230984,0.05294489710799948,0.006005231792231502,3.6062808878427985e-05
robot_data__50_-15_10_02_26_22_37_01.pkl,-15,-0.25597778924568454,0.375,3.625,0.09207499999999999,0.2407703435139547,0.06019258587848868,0.05294489710799948,0.007247688770489195,5.2528992513875187e-05
robot_data__50_-20_10_02_26_22_39_15.pkl,-20,-0.3355468322066388,0.305,2.9375,0.0746125,0.23991927731660725,0.059979819329151814,0.06251571202364645,-0.0025358926944946333,6.430751757991252e-06
robot_data__50_-20_10_02_26_22_41_07.pkl,-20,-0.3355468322066388,0.3,2.69,0.068326,0.2239335543028186,0.05598338857570465,0.06251571202364645,-0.006532323447941794,4.267124962853017e-05
robot_data__50_-20_10_02_26_22_42_49.pkl,-20,-0.3355468322066388,0.3,2.875,0.07302499999999999,0.23877305161798654,0.059693262904496634,0.06251571202364645,-0.0028224491191498127,7.966219030189554e-06
